Home_Team,Away_Team,1D_gain_H,1D_gain_A,1D_allowed_H,1D_allowed_A,Yards_gain_H,Yards_gain_A,Yards_allowed_H,Yards_allowed_A,Winner,Line,,Concat1,Concat2,Line
Denver Broncos,Los Angeles Chargers,17,28,28,17,351,485,485,351,Home,3.5,,Denver BroncosLos Angeles Chargers,Baltimore RavensTennessee Titans,-6
Chicago Bears,New Orleans Saints,18,23,23,18,329,394,394,329,Away,4,,Chicago BearsNew Orleans Saints,Carolina PanthersDetroit Lions,1.5
Seattle Seahawks,San Francisco 49ers,27,24,24,27,350,351,351,350,Home,-3,,Seattle SeahawksSan Francisco 49ers,Cleveland BrownsPhiladelphia Eagles,-3
Philadelphia Eagles,Dallas Cowboys,18,21,21,18,222,265,265,222,Home,-11.5,,Philadelphia EaglesDallas Cowboys,Houston TexansNew England Patriots,2.5
New York Giants,Tampa Bay Buccaneers,24,23,23,24,357,344,344,357,Away,12.5,,New York GiantsTampa Bay Buccaneers,Jacksonville JaguarsPittsburgh Steelers,10.5
San Francisco 49ers,Green Bay Packers,17,21,21,17,337,405,405,337,Away,7.5,,San Francisco 49ersGreen Bay Packers,New Orleans SaintsAtlanta Falcons,-3.5
Buffalo Bills,Seattle Seahawks,27,22,22,27,420,419,419,420,Home,3,,Buffalo BillsSeattle Seahawks,Washington Football TeamCincinnati Bengals,-1.5
Atlanta Falcons,Denver Broncos,23,23,23,23,363,405,405,363,Home,-4,,Atlanta FalconsDenver Broncos,Seattle SeahawksArizona Cardinals,-3
Washington Football Team,New York Giants,19,22,22,19,402,350,350,402,Away,-2.5,,Washington Football TeamNew York Giants,Chicago BearsMinnesota Vikings,3
Tennessee Titans,Chicago Bears,11,22,22,11,228,375,375,228,Home,-6.5,,Tennessee TitansChicago Bears,New England PatriotsBaltimore Ravens,7
Minnesota Vikings,Detroit Lions,22,30,30,22,487,421,421,487,Home,-4,,Minnesota VikingsDetroit Lions,Los Angeles RamsSeattle Seahawks,-3
Kansas City Chiefs,Carolina Panthers,24,30,30,24,397,435,435,397,Home,-10,,Kansas City ChiefsCarolina Panthers,New Orleans SaintsSan Francisco 49ers,-9.5
Jacksonville Jaguars,Houston Texans,22,19,19,22,403,374,374,403,Away,6.5,,Jacksonville JaguarsHouston Texans,Arizona CardinalsBuffalo Bills,-2.5
Indianapolis Colts,Baltimore Ravens,20,19,19,20,339,266,266,339,Away,1,,Indianapolis ColtsBaltimore Ravens,Las Vegas RaidersDenver Broncos,-3.5
Los Angeles Chargers,Las Vegas Raiders,26,16,16,26,440,320,320,440,Away,1,,Los Angeles ChargersLas Vegas Raiders,Miami DolphinsLos Angeles Chargers,-2
Dallas Cowboys,Pittsburgh Steelers,19,20,20,19,364,355,355,364,Away,14,,Dallas CowboysPittsburgh Steelers,Carolina PanthersTampa Bay Buccaneers,6
Arizona Cardinals,Miami Dolphins,26,24,24,26,442,312,312,442,Away,-5.5,,Arizona CardinalsMiami Dolphins,Cleveland BrownsHouston Texans,-4
Tampa Bay Buccaneers,New Orleans Saints,13,27,27,13,194,420,420,194,Away,-4,,Tampa Bay BuccaneersNew Orleans Saints,Detroit LionsWashington Football Team,-3
New York Jets,New England Patriots,18,30,30,18,322,433,433,322,Away,9.5,,New York JetsNew England Patriots,Green Bay PackersJacksonville Jaguars,-14
Tennessee Titans,Indianapolis Colts,25,26,26,25,294,430,430,294,Away,-1,,Tennessee TitansIndianapolis Colts,New York GiantsPhiladelphia Eagles,4
Cleveland Browns,Houston Texans,20,16,16,20,356,243,243,356,Home,-4,,Cleveland BrownsHouston Texans,Pittsburgh SteelersCincinnati Bengals,-7
Carolina Panthers,Tampa Bay Buccaneers,13,30,30,13,187,544,544,187,Away,6,,Carolina PanthersTampa Bay Buccaneers,Tennessee TitansIndianapolis Colts,-1
New York Giants,Philadelphia Eagles,22,22,22,22,382,346,346,382,Home,4,,New York GiantsPhiladelphia Eagles,New York JetsNew England Patriots,9.5
Green Bay Packers,Jacksonville Jaguars,16,16,16,16,395,260,260,395,Home,-14,,Green Bay PackersJacksonville Jaguars,Tampa Bay BuccaneersNew Orleans Saints,-4
Detroit Lions,Washington Football Team,21,34,34,21,372,464,464,372,Home,-3,,Detroit LionsWashington Football Team,Arizona CardinalsMiami Dolphins,-5.5
Las Vegas Raiders,Denver Broncos,21,20,20,21,357,313,313,357,Home,-3.5,,Las Vegas RaidersDenver Broncos,Dallas CowboysPittsburgh Steelers,14
Miami Dolphins,Los Angeles Chargers,17,19,19,17,280,273,273,280,Home,-2,,Miami DolphinsLos Angeles Chargers,Los Angeles ChargersLas Vegas Raiders,1
Arizona Cardinals,Buffalo Bills,26,22,22,26,453,369,369,453,Home,-2.5,,Arizona CardinalsBuffalo Bills,Atlanta FalconsDenver Broncos,-4
Los Angeles Rams,Seattle Seahawks,24,20,20,24,389,333,333,389,Home,-3,,Los Angeles RamsSeattle Seahawks,Buffalo BillsSeattle Seahawks,3
Pittsburgh Steelers,Cincinnati Bengals,22,16,16,22,377,324,324,377,Home,-7,,Pittsburgh SteelersCincinnati Bengals,Indianapolis ColtsBaltimore Ravens,1
New Orleans Saints,San Francisco 49ers,17,21,21,17,237,281,281,237,Home,-9.5,,New Orleans SaintsSan Francisco 49ers,Jacksonville JaguarsHouston Texans,6.5
New England Patriots,Baltimore Ravens,25,19,19,25,308,357,357,308,Home,7,,New England PatriotsBaltimore Ravens,Kansas City ChiefsCarolina Panthers,-10
Chicago Bears,Minnesota Vikings,10,19,19,10,149,385,385,149,Away,3,,Chicago BearsMinnesota Vikings,Minnesota VikingsDetroit Lions,-4
Seattle Seahawks,Arizona Cardinals,22,24,24,22,347,314,314,347,Home,-3,,Seattle SeahawksArizona Cardinals,Tennessee TitansChicago Bears,-6.5
Cleveland Browns,Philadelphia Eagles,17,19,19,17,324,315,315,324,Home,-3,,Cleveland BrownsPhiladelphia Eagles,Washington Football TeamNew York Giants,-2.5
Carolina Panthers,Detroit Lions,20,10,10,20,374,185,185,374,Home,1.5,,Carolina PanthersDetroit Lions,San Francisco 49ersGreen Bay Packers,7.5
Washington Football Team,Cincinnati Bengals,20,18,18,20,325,272,272,325,Home,-1.5,,Washington Football TeamCincinnati Bengals,New York GiantsTampa Bay Buccaneers,12.5
Baltimore Ravens,Tennessee Titans,21,26,26,21,306,423,423,306,Away,-6,,Baltimore RavensTennessee Titans,Philadelphia EaglesDallas Cowboys,-11.5
New Orleans Saints,Atlanta Falcons,24,14,14,24,376,248,248,376,Home,-3.5,,New Orleans SaintsAtlanta Falcons,Chicago BearsNew Orleans Saints,4
Jacksonville Jaguars,Pittsburgh Steelers,14,23,23,14,206,373,373,206,Away,10.5,,Jacksonville JaguarsPittsburgh Steelers,Seattle SeahawksSan Francisco 49ers,-3
Houston Texans,New England Patriots,21,22,22,21,399,435,435,399,Home,2.5,,Houston TexansNew England Patriots,Denver BroncosLos Angeles Chargers,3.5
Los Angeles Chargers,New York Jets,28,20,20,28,376,292,292,376,Home,-9.5,,Los Angeles ChargersNew York Jets,Baltimore RavensPittsburgh Steelers,-4
Denver Broncos,Miami Dolphins,19,17,17,19,459,223,223,459,Home,3.5,,Denver BroncosMiami Dolphins,Buffalo BillsNew England Patriots,-4.5
Minnesota Vikings,Dallas Cowboys,24,24,24,24,430,376,376,430,Away,-7,,Minnesota VikingsDallas Cowboys,Cincinnati BengalsTennessee Titans,7
Indianapolis Colts,Green Bay Packers,23,21,21,23,420,367,367,420,Home,-1.5,,Indianapolis ColtsGreen Bay Packers,Cleveland BrownsLas Vegas Raiders,-1.5
Las Vegas Raiders,Kansas City Chiefs,25,36,36,25,364,460,460,364,Away,7.5,,Las Vegas RaidersKansas City Chiefs,Detroit LionsIndianapolis Colts,3
Tampa Bay Buccaneers,Los Angeles Rams,20,22,22,20,251,413,413,251,Away,-4.5,,Tampa Bay BuccaneersLos Angeles Rams,Green Bay PackersMinnesota Vikings,-6.5
Detroit Lions,Houston Texans,28,21,21,28,388,384,384,388,Away,3,,Detroit LionsHouston Texans,Kansas City ChiefsNew York Jets,-19.5
Dallas Cowboys,Washington Football Team,13,22,22,13,247,338,338,247,Away,-3,,Dallas CowboysWashington Football Team,Miami DolphinsLos Angeles Rams,3.5
Atlanta Falcons,Las Vegas Raiders,23,13,13,23,304,243,243,304,Home,3,,Atlanta FalconsLas Vegas Raiders,Carolina PanthersAtlanta Falcons,-2
New York Jets,Miami Dolphins,10,22,22,10,260,345,345,260,Away,7,,New York JetsMiami Dolphins,Los Angeles RamsChicago Bears,-6
New England Patriots,Arizona Cardinals,16,23,23,16,179,298,298,179,Home,2,,New England PatriotsArizona Cardinals,Las Vegas RaidersTampa Bay Buccaneers,3.5
